StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Welcome,Age,Gender,Race,Location,Video_Control_Time_First Click,Video_Control_Time_Last Click,Video_Control_Time_Page Submit,Video_Control_Time_Click Count,Video_Treatment_Time_First Click,Video_Treatment_Time_Last Click,Video_Treatment_Time_Page Submit,Video_Treatment_Time_Click Count,Personal_Views_Confident,Personal_Views_Beautiful,Personal_Views_Beauty_Importance,Personal_Views_Relate_To_Model,Passion_i_identify_1,Passion_i_prefer_1,Passion_o_prefer_1,Passion_validate_1,Passion_i_identify_2,Passion_i_prefer_2,Passion_o_prefer_2,Passion_validate_2,Coffee_i_identify_1,Coffee_i_prefer_1,Coffee_o_prefer_1,Coffe_validate_1,Coffee_i_identify_2,Coffee_i_prefer_2,Coffee_o_prefer_2,Coffee_validate_2,Couple_i_identify_1,Couple_i_prefer_1,Couple_o_prefer_1,Couple_validate_1,Couple_i_identify_2,Couple_i_prefer_2,Couple_o_prefer_2,Couple_validate_2,Work_i_identify_1,Work_i_prefer_1,Work_o_prefer_1,Work_validate_1,work_i_identify_2,Work_i_prefer_2,Work_o_prefer_2,Work_validate_2,FIt_i_identify_1,Fit_i_prefer_1,Fit_o_prefer_1,Fit_validate_1,Fit_i_identify_2,Fit_i_prefer_2,Fit_o_prefer_2,Fit_validate_2,Group,Q9_6_TEXT - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I agree to participate in a research study conducted by masters students from the University of California - Berkeley.

In order to analyze responses to the questionnaire, my answers will be recorded. No identifying information about me will be made public, and any views I express will be kept completely confidential. 
The data will be stored at a secured location and retained indefinitely. My participation is voluntary. I am free to withdraw from the study at any time.

Please select one of the following options. If you choose not to participate, the survey will end immediately.",What is your age?,Which gender do you identify with?,Choose one or more races that you consider yourself to be:,"50 States, D.C. and Puerto Rico",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how strongly you agree or disagree with the following statements. - I am confident,Please indicate how strongly you agree or disagree with the following statements. - I am beautiful,Please indicate how strongly you agree or disagree with the following statements. - Being beautiful is important,Please indicate how strongly you agree or disagree with the following statements. - I can relate with model in the video advertisement,I identify most with the model in...,I prefer...,I believe others will prefer...,Select the Ad 1,I identify most with the model in...,I prefer...,I believe others will prefer...,Select the Ad 2,I identify most with the model in...,I prefer...,I believe others will prefer...,Select the first ad,I identify most with the model in...,I prefer...,I believe others will prefer...,Select the second ad,I identify most with the model in...,I prefer...,I believe others will prefer...,Select the first ad,I identify most with the model in...,I prefer...,I believe others will prefer...,Select the second ad,I identify most with the model in...,I prefer...,I believe others will prefer...,Select the first ad,I identify most with the model in...,I prefer...,I believe others will prefer...,Select the second ad,I identify most with the model in...,I prefer...,I believe others will prefer...,Select the Ad 1,I identify most with the model in...,I prefer...,I believe others will prefer...,Select the Ad 2,Group,Q9_6_TEXT - Topics
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID28_FIRST_CLICK""}","{""ImportId"":""QID28_LAST_CLICK""}","{""ImportId"":""QID28_PAGE_SUBMIT""}","{""ImportId"":""QID28_CLICK_COUNT""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID30""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID36""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID42""}","{""ImportId"":""QID40""}","{""ImportId"":""QID44""}","{""ImportId"":""QID46""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID53""}","{""ImportId"":""QID55""}","{""ImportId"":""QID54""}","{""ImportId"":""QID52""}","{""ImportId"":""QID56""}","{""ImportId"":""QID58""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID49""}","{""ImportId"":""QID51""}","{""ImportId"":""QID50""}","{""ImportId"":""QID48""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62""}","{""ImportId"":""QID61""}","{""ImportId"":""QID63""}","{""ImportId"":""QID65""}","{""ImportId"":""QID67""}","{""ImportId"":""QID66""}","{""ImportId"":""QID64""}","{""ImportId"":""QID68""}","{""ImportId"":""QID70""}","{""ImportId"":""QID69""}","{""ImportId"":""QID71""}","{""ImportId"":""Group""}","{""ImportId"":""QID5_6_TEXT_bfcd9ab8d0fd40b9b3584743Topics""}"
2017-07-04 14:31:54,2017-07-04 14:34:33,Survey Preview,,100,158,True,2017-07-04 14:34:33,R_2v7lt34CBgN2Jiw,,,,,47.634399414062,-122.34220123291,preview,EN,I agree,25 - 34,Female,White,Washington,,,,,0,0,30.023,0,Disagree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment,
2017-07-04 15:02:58,2017-07-04 15:04:56,Survey Preview,,100,118,True,2017-07-04 15:04:56,R_cNiQWiAr3GMHJ53,,,,,47.634399414062,-122.34220123291,preview,,I agree,35 - 44,Male,Black or African American,Indiana,0,0,31.018,0,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,Ad 1,Ad 1,Ad 1,Ad 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,
2017-07-04 15:47:49,2017-07-04 15:49:38,IP Address,50.53.23.101,100,109,True,2017-07-04 15:49:39,R_2qgeQUPWXj1eGmp,,,,,45.445999145508,-122.88200378418,anonymous,EN,I agree,25 - 34,Male,Asian,Oregon,,,,,0,0,30.018,0,Agree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ad 2,Ad 2,Ad 2,Ad 1,,,,,,,,,Treatment,
2017-07-04 15:51:02,2017-07-04 15:52:25,IP Address,50.53.23.101,100,82,True,2017-07-04 15:52:26,R_31h1r4HFjmeq6Uf,,,,,45.445999145508,-122.88200378418,anonymous,EN,I agree,25 - 34,Male,Asian,Indiana,,,,,7.709,7.709,30.025,1,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,Ad 1,Ad 2,Ad 1,Ad 2,,,,,,,,,,,,,,,,,,,,,Treatment,
2017-07-04 16:04:32,2017-07-04 16:05:11,IP Address,24.18.156.137,100,39,True,2017-07-04 16:05:12,R_332uDaPsr3zIsnS,,,,,47.634399414062,-122.34220123291,anonymous,EN,I do not agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-04 16:05:16,2017-07-04 16:05:37,IP Address,24.18.156.137,100,21,True,2017-07-04 16:05:37,R_u4XehWBliEYrReN,,,,,47.634399414062,-122.34220123291,anonymous,EN,I agree,Under 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-04 16:05:40,2017-07-04 16:12:28,IP Address,24.18.156.137,100,408,True,2017-07-04 16:12:29,R_1FK9E8BCZuado6u,,,,,47.634399414062,-122.34220123291,anonymous,EN,I agree,18 - 24,Male,"White,Other",Tennessee,0,0,31.071,0,,,,,Agree,Disagree,Disagree,Disagree,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,,,,,,,,,Ad 1,Ad 2,Ad 2,Ad 2,,,,,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Control,
2017-07-04 16:12:37,2017-07-04 16:16:52,IP Address,24.18.156.137,100,255,True,2017-07-04 16:16:53,R_12LMHiPG6otE6XM,,,,,47.634399414062,-122.34220123291,anonymous,EN,I agree,55 - 64,Male,"Black or African American,American Indian or Alaska Native,Native Hawaiian or Pacific Islander",Connecticut,0,0,31.066,0,,,,,Strongly disagree,Disagree,Agree,Disagree,Ad 1,Ad 1,Ad 1,Ad 1,,,,,Ad 1,Ad 2,Ad 1,Ad 1,,,,,,,,,Ad 2,Ad 2,Ad 2,Ad 2,,,,,Ad 2,Ad 1,Ad 1,Ad 2,,,,,Ad 2,Ad 2,Ad 1,Ad 2,Control,
2017-07-04 16:17:21,2017-07-04 16:18:34,IP Address,24.18.156.137,100,72,True,2017-07-04 16:18:34,R_3lsNAMGoE6OQZWI,,,,,47.634399414062,-122.34220123291,anonymous,EN,I agree,55 - 64,Other,Native Hawaiian or Pacific Islander,Kansas,,,,,0,0,30.063,0,Disagree,Agree,Strongly disagree,Agree,Ad 1,Ad 1,Ad 1,Ad 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ad 2,Ad 1,Ad 1,Ad 2,,,,,Treatment,
2017-07-04 16:27:09,2017-07-04 16:28:32,IP Address,47.17.45.3,100,83,True,2017-07-04 16:28:33,R_1j8Lj8IeKO2gKxB,,,,,40.661407470703,-73.958297729492,anonymous,EN,I agree,25 - 34,Male,"White,Asian",New York,0,0,31.018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,
2017-07-04 18:30:31,2017-07-04 18:30:54,IP Address,107.77.205.48,3,22,False,2017-07-04 22:30:33,R_264LHxtXLlUSC5G,,,,,,,anonymous,EN,I agree,25 - 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-04 20:40:45,2017-07-04 21:16:34,IP Address,172.58.40.15,42,2148,False,2017-07-05 00:40:51,R_2yrRFzwiHvyB3tH,,,,,,,anonymous,EN,I agree,25 - 34,Male,White,Washington,,,,,9.698,26.184,30.103,3,Strongly agree,Strongly agree,Agree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,Ad 2,Ad 2,Ad 1,Ad 1,,,,,,,,,,,,,Treatment,
2017-07-05 08:46:42,2017-07-05 08:48:53,IP Address,172.58.40.15,100,130,True,2017-07-05 08:48:53,R_TcnoNHYGyRWMg0h,,,,,45.523406982422,-122.6762008667,anonymous,EN,I agree,25 - 34,Male,White,Washington,10.018,23.737,31.143,3,,,,,Strongly agree,Strongly agree,Disagree,Disagree,,,,,Ad 1,Ad 2,Ad 1,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,Ad 2,Ad 1,Ad 2,Ad 1,,,,,,,,,Ad 1,Ad 1,Ad 2,Ad 2,,,,,Ad 1,Ad 1,Ad 2,Ad 2,Control,
2017-07-05 08:59:34,2017-07-05 09:03:04,IP Address,96.81.157.89,100,210,True,2017-07-05 09:03:05,R_1PYm3SxFGuEGERe,,,,,47.61540222168,-122.21029663086,anonymous,EN,I agree,25 - 34,Female,White,Washington,0,0,31.042,0,,,,,Agree,Agree,Strongly disagree,Strongly disagree,,,,,Ad 1,Ad 1,Ad 1,Ad 2,Ad 1,Ad 1,Ad 2,Ad 1,,,,,Ad 2,Ad 1,Ad 1,Ad 1,,,,,Ad 1,Ad 1,Ad 1,Ad 1,,,,,,,,,Ad 2,Ad 1,Ad 1,Ad 2,Control,
2017-07-05 11:05:51,2017-07-05 11:11:09,IP Address,134.134.139.72,100,318,True,2017-07-05 11:11:10,R_1DMPRw7OzLZiG9n,,,,,34.054397583008,-118.2440032959,anonymous,EN,I agree,55 - 64,Female,"White,Other",Oregon,,,,,0,0,30.032,0,Agree,Disagree,Agree,Strongly agree,Ad 2,Ad 2,Ad 1,Ad 1,,,,,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Ad 1,Ad 1,Ad 2,Ad 2,Ad 1,Ad 1,Ad 1,Ad 1,,,,,Ad 1,Ad 2,Ad 2,Ad 1,,,,,Treatment,
2017-07-05 09:50:56,2017-07-05 09:52:02,IP Address,172.221.22.73,16,66,False,2017-07-05 13:51:07,R_279GFyM6KywWsu2,,,,,,,anonymous,EN,I agree,25 - 34,Male,White,California,,,,,0,0,30.146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment,
2017-07-05 16:19:50,2017-07-05 16:22:17,IP Address,192.55.54.45,100,147,True,2017-07-05 16:22:18,R_uaIaXM0s3RQ6wM1,,,,,45.523406982422,-122.6762008667,anonymous,EN,I agree,45 - 54,Female,White,Oregon,0,0,31.077,0,,,,,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,,,,,,,,,Ad 2,Ad 2,Ad 1,Ad 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,
2017-07-05 17:20:57,2017-07-05 17:24:05,IP Address,192.55.54.42,100,188,True,2017-07-05 17:24:06,R_3forOabCUGWVP8J,,,,,34.054397583008,-118.2440032959,anonymous,EN,I agree,35 - 44,Female,Asian,Oregon,0,0,31.047,0,,,,,Strongly agree,Agree,Disagree,Disagree,Ad 2,Ad 2,Ad 1,Ad 1,,,,,,,,,Ad 1,Ad 1,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,Ad 1,,,,,,,,,Ad 1,Ad 2,Ad 2,Ad 2,,,,,Ad 1,Ad 1,Ad 2,Ad 2,Control,
2017-07-05 17:21:44,2017-07-05 17:24:38,IP Address,192.55.54.42,100,174,True,2017-07-05 17:24:39,R_33dVlXPBn3i2uCL,,,,,34.054397583008,-118.2440032959,anonymous,EN,I agree,45 - 54,Female,White,Oregon,,,,,0,0,30.052,0,Strongly agree,Strongly agree,Strongly disagree,Disagree,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,,,,,Ad 1,Ad 1,Ad 1,Ad 2,Ad 2,Ad 2,Ad 2,Ad 1,,,,,Treatment,
